"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JSON", "Ignore", "JavaScript", "Shell Script", "YAML", "MDX", "TypeScript JSX", "PostCSS", "XML", "HTML", "Prisma", "Properties", "SQL", "PHP", "Environment Variables", "Docker", "Diff", "comment", "blank", "total"
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/pre-release.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 83
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/production-build-without-database.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/production-build.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 59
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/release-docker.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 48
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/release.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/semantic-pull-requests.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 49
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/submodule-sync.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 22
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/unit-tests.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 19
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.github/workflows/yarn-install.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.gitpod.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.prettierignore", "Ignore", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.prettierrc.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.snaplet/config.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.snaplet/manifest.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.snaplet/transform.ts", "TypeScript", 256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 268
"/Users/stmoerman/Developer/Business/Bakklog/cal.com/.yarn/patches/dayjs-npm-1.11.2-644b12fe04.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
